"subjID" "choice" "RT" "altrep" "condition" "area"
"sub02" 2 0.8478 "1" "S" "AC"
"sub02" 2 0.8453 "1" "S" "AC"
"sub02" 2 1.015 "2" "S" "AC"
"sub02" 2 0.9208 "1" "S" "AC"
"sub02" 2 0.8241 "1" "S" "AC"
"sub02" 2 0.5143 "2" "S" "AC"
"sub02" 2 0.9449 "2" "S" "AC"
"sub02" 2 0.6239 "2" "S" "AC"
"sub02" 2 1.1828 "2" "S" "AC"
"sub02" 2 0.7615 "1" "S" "AC"
"sub02" 2 0.5377 "1" "S" "AC"
"sub02" 2 0.817 "2" "S" "AC"
"sub02" 2 0.7115 "2" "S" "AC"
"sub02" 2 1.3074 "2" "S" "AC"
"sub02" 2 1.1967 "1" "S" "AC"
"sub02" 2 0.9019 "2" "S" "AC"
"sub02" 2 0.7456 "2" "S" "AC"
"sub02" 2 1.2992 "1" "S" "AC"
"sub02" 2 0.8375 "1" "S" "AC"
"sub02" 2 1.1476 "2" "S" "AC"
"sub02" 2 1.329 "2" "S" "AC"
"sub02" 2 0.4926 "1" "S" "AC"
"sub02" 2 0.7622 "2" "S" "AC"
"sub02" 2 1.0571 "1" "S" "AC"
"sub02" 2 0.4977 "2" "S" "AC"
"sub02" 2 1.2755 "1" "S" "AC"
"sub02" 2 0.6525 "1" "S" "AC"
"sub02" 2 0.7453 "1" "S" "AC"
"sub02" 2 0.554 "1" "S" "AC"
"sub02" 2 0.5863 "1" "S" "AC"
"sub02" 2 0.9372 "2" "S" "AC"
"sub02" 2 0.9879 "1" "S" "AC"
"sub02" 2 0.9731 "1" "S" "AC"
"sub02" 2 0.8293 "2" "S" "AC"
"sub02" 2 1.1455 "1" "S" "AC"
"sub02" 2 0.7628 "1" "S" "AC"
"sub02" 2 0.5654 "1" "S" "AC"
"sub02" 2 0.7081 "2" "S" "AC"
"sub02" 2 0.5776 "2" "S" "AC"
"sub02" 2 1.0339 "2" "S" "AC"
"sub02" 2 0.7425 "1" "S" "AC"
"sub02" 2 0.556 "2" "C" "AC"
"sub02" 2 0.6641 "1" "C" "AC"
"sub02" 2 0.5438 "1" "C" "AC"
"sub02" 2 0.7225 "1" "C" "AC"
"sub02" 2 0.6468 "1" "C" "AC"
"sub02" 2 0.5102 "1" "C" "AC"
"sub02" 2 0.7283 "1" "C" "AC"
"sub02" 2 0.9704 "2" "C" "AC"
"sub02" 2 0.5904 "1" "C" "AC"
"sub02" 2 0.6959 "2" "C" "AC"
"sub02" 2 0.5553 "1" "C" "AC"
"sub02" 2 0.7457 "1" "C" "AC"
"sub02" 2 0.5914 "1" "C" "AC"
"sub02" 2 0.8849 "2" "C" "AC"
"sub02" 2 0.8973 "1" "C" "AC"
"sub02" 2 0.7596 "1" "C" "AC"
"sub02" 2 0.8305 "2" "C" "AC"
"sub02" 2 0.7003 "2" "C" "AC"
"sub02" 2 1.3827 "1" "C" "AC"
"sub02" 2 0.9913 "1" "C" "AC"
"sub02" 2 0.8208 "2" "C" "AC"
"sub02" 2 0.5408 "2" "C" "AC"
